date,wind_generation_mw
2020-01-01,6133.299
2020-02-01,6091.696
2020-03-01,7472.27
2020-04-01,5098.553
2020-05-01,5273.812
2020-06-01,4664.143
2020-07-01,5579.411
2020-08-01,4872.758
2020-09-01,5529.063
2020-10-01,7611.854
2020-11-01,5871.111
2020-12-01,9839.428
2021-01-01,9653.203
2021-02-01,9436.258
2021-03-01,7605.885
2021-04-01,5720.576
2021-05-01,6451.97
2021-06-01,5119.369
2021-07-01,5730.582
2021-08-01,4994.635
2021-09-01,4404.139
2021-10-01,5771.1
2021-11-01,8749.776
2021-12-01,9198.67
2022-01-01,7197.134
2022-02-01,6894.881
2022-03-01,8623.098
2022-04-01,7672.24
2022-05-01,6105.625
2022-06-01,5070.203
2022-07-01,5849.443
2022-08-01,5645.28
2022-09-01,5834.289
2022-10-01,6865.256
2022-11-01,9331.465
2022-12-01,7445.432
2023-01-01,10056.448
2023-02-01,6936.145
2023-03-01,8983.567
2023-04-01,6758.325
2023-05-01,7292.514
2023-06-01,4301.55
2023-07-01,5218.013
2023-08-01,5749.343
2023-09-01,4984.122
2023-10-01,7718.524
2023-11-01,9576.835
2023-12-01,7824.055
2024-01-01,7589.133
2024-02-01,9817.277
2024-03-01,8052.16
2024-04-01,6401.754
2024-05-01,5743.746
2024-06-01,6164.062
2024-07-01,5708.256
2024-08-01,5308.847
2024-09-01,6414.499
2024-10-01,7638.463
2024-11-01,6723.074
2024-12-01,7064.325

